Название,Ближайшее метро,"Расстояние до центра, км","Цена за квадратный метр, руб",Количество комнат,Этаж,Количество этажей в доме,"Площадь квартиры, м^2","Жилая площадь, м^2","Площадь кухни, м^2","Цена, руб"
"Продажа многокомнатной квартиры 170м², 10/14этаж",Минская,"•до центра 8,9 км",705882₽/м²,5-комнатная,10,14,170м²,90м²,20м²,120000000
"Продажа многокомнатной квартиры 125,2м², 7/14этаж",Кутузовская,"•до центра 8,8 км",703100₽/м²,5-комнатная,7,14,,,,88000000
"Продажа 2-комнатной квартиры 73,5м², 31/49этаж",Мичуринский проспект,"•до центра 11,3 км",531000₽/м²,,,,,,,39028500
"Продажа 3-комнатной квартиры 119,8м², 16/39этаж",Минская,"•до центра 8,5 км",959933₽/м²,3-комнатная,16,39,,,,115000000
"Продажа 2-комнатной квартиры 74,8м², 31/49этаж",Мичуринский проспект,"•до центра 11,3 км",497200₽/м²,,,,,,,37190560
"Продажа 3-комнатной квартиры 102м², 6/6этаж",Минская,"•до центра 8,4 км",1127451₽/м²,,,,102м²,18м²,6 из 6,115000000
"Продажа 3-комнатной квартиры 67м², 9/14этаж",Минская,"•до центра 8,9 км",567164₽/м²,3-комнатная,9,14,67м²,"24,7м²","22,9м²",38000000
"Продажа 4-комнатной квартиры 178,7м², 6/8этаж",Минская,"•до центра 8,4 км",979295₽/м²,4-комнатная,6,8,,,,175000000
"Продажа 2-комнатной квартиры 76м², 26/29этаж",Аминьевская,"•до центра 11,2 км",558655₽/м²,,,,76м²,"52,9м²",26 из 29,42457789
"Продажа 3-комнатной квартиры 69,7м², 17/25этаж",Лужники,"•до центра 5,7 км",329986₽/м²,3-комнатная,17,25,"69,7м²",35м²,9м²,23000000
"Продажа 1-комнатной квартиры 42,7м², 3/29этаж",Аминьевская,"•до центра 11,2 км",569080₽/м²,1-комнатная,3,29,,,,24299706
"Продажа 2-комнатной квартиры 68,5м², 12/12этаж",Минская,"•до центра 7,4 км",753406₽/м²,,,,,,,51578163
"Продажа 2-комнатной квартиры 49,8м², 2/14этаж",Лужники,"•до центра 5,7 км",351406₽/м²,2-комнатная,2,14,"49,8м²",33м²,9м²,17500000
"Продажа 3-комнатной квартиры 107,8м², 35/40этаж",Минская,"•до центра 7,4 км",754692₽/м²,,,,,,,81393523
"Продажа 3-комнатной квартиры 85,4м², 24/40этаж",Минская,"•до центра 7,4 км",766740₽/м²,,,,,,,65456590
"Продажа 3-комнатной квартиры 137м², 8/12этаж",Минская,"•до центра 8,8 км",744526₽/м²,3-комнатная,8,12,137м²,"83,1м²","12,8м²",102000000
"Продажа многокомнатной квартиры 160,4м², 10/14этаж",Минская,"•до центра 8,9 км",747494₽/м²,6-комнатная,10,14,,,,119898000
"Продажа 2-комнатной квартиры 78м², 3/24этаж",Ломоносовский проспект,"•до центра 8,7 км",564103₽/м²,2-комнатная,3,24,78м²,38м²,14м²,44000000
"Продажа 2-комнатной квартиры 82,1м², 10/21этаж",Раменки,"•до центра 9,9 км",505481₽/м²,2-комнатная,10,21,"82,1м²","39,6м²","14,8м²",41500000
"Продажа 3-комнатной квартиры 70,5м², 3/8этаж",Ломоносовский проспект,"•до центра 8,7 км",377163₽/м²,3-комнатная,3,8,"70,5м²",47м²,"7,5м²",26590000
"Продажа 3-комнатной квартиры 160м², 2/6этаж",Воробьёвы горы,"•до центра 6,9 км",1010063₽/м²,3-комнатная,2,6,,,,161610064
"Продажа 2-комнатной квартиры 54м², 15/22этаж",Ломоносовский проспект,"•до центра 8,8 км",555556₽/м²,2-комнатная,15,22,,,,30000000
"Продажа 3-комнатной квартиры 145,3м², 4/22этаж",Университет,"•до центра 8,7 км",947941₽/м²,3-комнатная,4,22,,,,137735850
"Продажа 3-комнатной квартиры 117,5м², 11/17этаж",Раменки,"•до центра 9,3 км",382979₽/м²,3-комнатная,11,17,"117,5м²",65м²,12м²,45000000
"Продажа 1-комнатной квартиры 41,7м², 10/31этаж",Аминьевская,"•до центра 11,5 км",479376₽/м²,1-комнатная,10,31,"41,7м²",25м²,10м²,19990000
"Продажа 3-комнатной квартиры 97,9м², 9/14этаж",Минская,•до центра 9 км,559040₽/м²,3-комнатная,9,14,"97,9м²","38,4м²","25,8м²",54730000
"Продажа 2-комнатной квартиры 70м², 7/12этаж",Минская,"•до центра 8,8 км",554286₽/м²,2-комнатная,7,12,70м²,45м²,"11,5м²",38800000
"Продажа 3-комнатной квартиры 158,2м², 44/53этаж",Ломоносовский проспект,"•до центра 6,8 км",597345₽/м²,апартаменты,,,,,,94500000
"Продажа 3-комнатной квартиры 86м², 28/29этаж",Ломоносовский проспект,"•до центра 8,7 км",447674₽/м²,апартаменты,,,,,,38500000
"Продажа 3-комнатной квартиры 76,2м², 2/41этаж",Кутузовская,"•до центра 5,7 км",615000₽/м²,3-комнатная,2,41,,,,46863000
"Продажа 3-комнатной квартиры 110м², 28/43этаж",Ломоносовский проспект,"•до центра 8,5 км",436364₽/м²,,,,,,,48000000
"Продажа 3-комнатной квартиры 109м², 34/43этаж",Минская,"•до центра 8,5 км",435780₽/м²,,,,,,,47500000
"Продажа 3-комнатной квартиры 100м², 6/17этаж",Ломоносовский проспект,"•до центра 8,9 км",610000₽/м²,3-комнатная,6,17,,,,61000000
"Продажа 1-комнатной квартиры 40,6м², 10/15этаж",Раменки,"•до центра 9,9 км",597499₽/м²,1-комнатная,10,15,"40,6м²","16,5м²","10,7м²",24258443
"Продажа 4-комнатной квартиры 110м², 10/22этаж",Ломоносовский проспект,"•до центра 8,8 км",454545₽/м²,4-комнатная,10,22,110м²,"71,2м²",32м²,50000000
"Продажа 2-комнатной квартиры 45м², 7/30этаж",Аминьевская,"•до центра 11,3 км",517778₽/м²,2-комнатная,7,30,,,,23300000
"Продажа 1-комнатной квартиры 41,6м², 20/50этаж",Мичуринский проспект,"•до центра 11,2 км",516000₽/м²,1-комнатная,20,50,"41,6м²","14,9м²","15,7м²",21465600
"Продажа 1-комнатной квартиры 42,7м², 4/29этаж",Аминьевская,"•до центра 11,2 км",570304₽/м²,1-комнатная,4,29,,,,24351970
"Продажа 1-комнатной квартиры 42,4м², 25/29этаж",Аминьевская,"•до центра 11,2 км",599247₽/м²,,,,"42,4м²","26,2м²",25 из 29,25408086
"Продажа 2-комнатной квартиры 73,5м², 29/43этаж",Мичуринский проспект,"•до центра 11,1 км",408163₽/м²,,,,,,,30000000
"Продажа 4-комнатной квартиры 150,7м², 25/33этаж",Ломоносовский проспект,"•до центра 6,8 км",729927₽/м²,апартаменты,,,"150,7м²",107м²,25 из 33,110000000
"Продажа 2-комнатной квартиры 92,2м², 13/14этаж",Минская,"•до центра 8,7 км",716052₽/м²,2-комнатная,13,14,"92,2м²","30,3м²","32,7м²",66020000
"Продажа 3-комнатной квартиры 105,5м², 12/13этаж",Раменки,"•до центра 9,9 км",492891₽/м²,3-комнатная,12,13,"105,5м²",57м²,"19,4м²",52000000
"Продажа 4-комнатной квартиры 206м², 3/17этаж",Ломоносовский проспект,"•до центра 8,2 км",1025218₽/м²,4-комнатная,3,17,,,,211194970
"Продажа 4-комнатной квартиры 129м², 7/14этаж",Кутузовская,"•до центра 8,8 км",659119₽/м²,4-комнатная,7,14,,,,85000000
"Продажа 3-комнатной квартиры 95,5м², 5/27этаж",Аминьевская,"•до центра 11,5 км",424084₽/м²,3-комнатная,5,27,,,,40500000
"Продажа 3-комнатной квартиры 66,3м², 8/22этаж",Мичуринский проспект,"•до центра 11,8 км",336350₽/м²,3-комнатная,8,22,"66,3м²",45м²,"8,9м²",22300000
"Продажа 1-комнатной квартиры 30,7м², 5/5этаж",Ломоносовский проспект,•до центра 7 км,368078₽/м²,,,,,,,11300000
"Продажа 3-комнатной квартиры 76,1м², 5/41этаж",Кутузовская,"•до центра 5,7 км",658000₽/м²,3-комнатная,5,41,,,,50080380
"Продажа 2-комнатной квартиры 62,6м², 24/28этаж",Раменки,"•до центра 9,9 км",541534₽/м²,,,,,,,33900000
"Продажа 2-комнатной квартиры 54,2м², 37/52этаж",Минская,"•до центра 9,5 км",453969₽/м²,,,,,,,24605106
